"license_id","license_licenseAbbrev","license_licenseStr15","url_4"
20212218,"M. Eric","Micheal Eric","https://static.acb.com/img/www/jugadores2022/EricCara.jpg"
20204124,"J. Fernández","Jaime Fernández","https://static.acb.com/img/www/jugadores2022/JaimeFernandezCara.jpg"
20211625,"T. Abromaitis","Tim Abromaitis","https://static.acb.com/img/www/jugadores2022/AbromaitisCara.jpg"
30000201,"L. Beliauskas","Laurynas Beliauskas","https://static.acb.com/img/www/jugadores2022/BeliauskasCara.jpg"
20200282,"Á. Muñoz","Álvaro Muñoz","https://static.acb.com/img/www/jugadores2022/AlvaroMunozCara.jpg"
20203590,"X. Rabaseda","Xavi Rabaseda","https://static.acb.com/img/www/jugadores2022/RabasedaCara.jpg"
20209407,"W. Tavares","Edy Tavares","https://static.acb.com/img/www/jugadores2022/TavaresCara.jpg"
20204156,"D. Díez","Dani Díez","https://static.acb.com/img/www/jugadores2022/DaniDiezCara.jpg"
20212482,"J. García","Javi García","https://static.acb.com/img/www/jugadores2022/JaviGarciaCara.jpg"
20212461,"T. Hlinason","Tryggvi Hlinason","https://static.acb.com/img/www/jugadores2022/HlinasonCara.jpg"
20212966,"S. Okoye","Stan Okoye","https://static.acb.com/img/www/jugadores2022/OkoyeCara.jpg"
20212441,"M. Salvó","Miquel Salvó","https://static.acb.com/img/www/jugadores2022/SalvoCara.jpg"
30000924,"J. Novak","Jovan Novak","https://static.acb.com/img/www/jugadores2022/NovakCara.jpg"
30001220,"C. Kramer","Chris Kramer","https://static.acb.com/img/www/jugadores2022/KramerCara.jpg"
20211935,"J. López","Javier López","https://static.acb.com/img/www/jugadores2022/JLopezCara.jpg"
20203835,"C. Eyenga","Christian Eyenga","https://static.acb.com/img/www/jugadores2022/EyengaCara.jpg"
30000020,"C. Higgins","Cory Higgins","https://static.acb.com/img/www/jugadores2022/HigginsCara.jpg"
20202164,"P. Oriola","Pierre Oriola","https://static.acb.com/img/www/jugadores2022/OriolaCara.jpg"
20202101,"N. Mirotic","Nikola Mirotic","https://static.acb.com/img/www/jugadores2022/MiroticCara.jpg"
30000962,"I. Taylor","Isaiah Taylor","https://static.acb.com/img/www/jugadores2022/IsaiahTaylorCara.jpg"
20200277,"A. Lima","Augusto Lima","https://static.acb.com/img/www/jugadores2022/LimaCara.jpg"
30000021,"J. Davis","Jordan Davis","https://static.acb.com/img/www/jugadores2022/JordanDavisCara.jpg"
20201916,"K. Vasileiadis","Kostas Vasileiadis","https://static.acb.com/img/www/jugadores2022/VasileiadisCara.jpg"
30001219,"L. Nnoko","Landry Nnoko","https://static.acb.com/img/www/jugadores2022/NnokoBURCara.jpg"
20203770,"J. Granger","Jayson Granger","https://static.acb.com/img/www/jugadores2022/GrangerCara.jpg"
30000032,"M. Costello","Matt Costello","https://static.acb.com/img/www/jugadores2022/CostelloCara.jpg"
20211451,"N. Dimitrijevic","Nenad Dimitrijevic","https://static.acb.com/img/www/jugadores2022/DimitrijevicCara.jpg"
20211887,"A. Kurucs","Arturs Kurucs","https://static.acb.com/img/www/jugadores2022/KurucsCara.jpg"
20210278,"M. Diagné","Moussa Diagne","https://static.acb.com/img/www/jugadores2022/DiagneCara.jpg"
20211327,"C. Hannah","Clevin Hannah","https://static.acb.com/img/www/jugadores2022/HannahCara.jpg"
30000305,"K. Carrington","Khadeen Carrington","https://static.acb.com/img/www/jugadores2022/CarringtonCara.jpg"
20200279,"P. Pozas","Pepe Pozas","https://static.acb.com/img/www/jugadores2022/PozasCara.jpg"
20211944,"D. Agbelese","Danny Agbelese","https://static.acb.com/img/www/jugadores2022/AgbeleseCara.jpg"
20210685,"S. García","Sergi García","https://static.acb.com/img/www/jugadores2022/SergiGarciaCLACara.jpg"
20212265,"J. Parra","Joel Parra","https://static.acb.com/img/www/jugadores2022/ParraCara.jpg"
20200836,"P. Ribas","Pau Ribas","https://static.acb.com/img/www/jugadores2022/RibasCara.jpg"
20212971,"V. Brodziansky","Vladimir Brodziansky","https://static.acb.com/img/www/jugadores2022/BrodzianskyCara.jpg"
20204158,"G. Vives","Guillem Vives","https://static.acb.com/img/www/jugadores2022/VivesCara.jpg"
30001185,"J. Withey","Jeff Withey","https://static.acb.com/img/www/jugadores2022/WitheyCara.jpg"
20200247,"A. Ventura","Albert Ventura","https://static.acb.com/img/www/jugadores2022/VenturaCara.jpg"
30000153,"Z. Maronka","Zsombor Maronka","https://static.acb.com/img/www/jugadores2022/MaronkaCara.jpg"
20203882,"J. Sastre","Joan Sastre","https://static.acb.com/img/www/jugadores2022/SastreCara.jpg"
20212972,"B. Fitipaldo","Bruno Fitipaldo","https://static.acb.com/img/www/jugadores2022/FitipaldoCara.jpg"
20212189,"A. Doornekamp","Aaron Doornekamp","https://static.acb.com/img/www/jugadores2022/DoornekampCara.jpg"
20211597,"S. Salin","Sasu Salin","https://static.acb.com/img/www/jugadores2022/SalinCara.jpg"
20210279,"S. Rodríguez","Sergio Rodríguez","https://static.acb.com/img/www/jugadores2022/SergioRodriguezCara.jpg"
20212244,"J. Sakho","Jordan Sakho","https://static.acb.com/img/www/jugadores2022/SakhoCara.jpg"
20204153,"I. Cruz","Iván Cruz","https://static.acb.com/img/www/jugadores2022/CruzCara.jpg"
20211333,"T. Borg","Tobias Borg","https://static.acb.com/img/www/jugadores2022/TobiasBorgCara.jpg"
30001179,"K. Larsen","Kevin Larsen","https://static.acb.com/img/www/jugadores2022/LarsenCara.jpg"
30001133,"Miller-McIntyre","Codi Miller-McIntyre","https://static.acb.com/img/www/jugadores2022/CodiCara.jpg"
20203834,"D. Jelinek","David Jelínek","https://static.acb.com/img/www/jugadores2022/JelinekCara.jpg"
20212967,"C. Morgan","Conor Morgan","https://static.acb.com/img/www/jugadores2022/MorganCara.jpg"
20201774,"S. Llull","Sergio Llull","https://static.acb.com/img/www/jugadores2022/LlullCara.jpg"
30001113,"N.Williams-Goss","Nigel Williams-Goss","https://static.acb.com/img/www/jugadores2022/William-GossCara.jpg"
30000909,"K. Alexander","Kyle Alexander","https://static.acb.com/img/www/jugadores2022/AlexanderCara.jpg"
20203945,"A. López","Álex López","https://static.acb.com/img/www/jugadores2022/AlexLopezCara.jpg"
20204145,"B. Burjanadze","Beqa Burjanadze","https://static.acb.com/img/www/jugadores2022/BurjanadzeCara.jpg"
20211263,"N. Radovic","Nemanja Radovic","https://static.acb.com/img/www/jugadores2022/RadovicCara.jpg"
20204146,"A. Suárez","Álex Suárez","https://static.acb.com/img/www/jugadores2022/SuarezCara.jpg"
20202172,"A. Tomic","Ante Tomic","https://static.acb.com/img/www/jugadores2022/TomicCara.jpg"
30001110,"D. Willis","Derek Willis","https://static.acb.com/img/www/jugadores2022/WillisCara.jpg"
20213002,"L. Labeyrie","Louis Labeyrie","https://static.acb.com/img/www/jugadores2022/LabeyrieCara.jpg"
30000313,"M. Hermannsson","Martin Hermannsson","https://static.acb.com/img/www/jugadores2022/HermannssonCara.jpg"
20209934,"F. Guerra","Fran Guerra","https://static.acb.com/img/www/jugadores2022/GuerraCara.jpg"
20211641,"V. Benite","Vitor Benite","https://static.acb.com/img/www/jugadores2022/BeniteCara.jpg"
30001169,"T. Kalinoski","Tyler Kalinoski","https://static.acb.com/img/www/jugadores2022/KalinoskiCara.jpg"
30001183,"G. Masiulis","Gytis Masiulis","https://static.acb.com/img/www/jugadores2022/MasiulisCara.jpg"
20211609,"D. Radoncic","Dino Radoncic","https://static.acb.com/img/www/jugadores2022/RadoncicCara.jpg"
30000030,"K. Sipahi","Kenan Sipahi","https://static.acb.com/img/www/jugadores2022/SipahiCara.jpg"
20210147,"A. Font","Aleix Font","https://static.acb.com/img/www/jugadores2022/FontCara.jpg"
30001120,"S. Sanli","Sertaç Sanli","https://static.acb.com/img/www/jugadores2022/SanliCara.jpg "
20209878,"O. Stevic","Oliver Stevic","https://static.acb.com/img/www/jugadores2022/StevicCara.jpg"
20200483,"A. Oliver","Albert Oliver","https://static.acb.com/img/www/jugadores2022/OliverCara.jpg"
30000045,"V. Marinkovic","Vanja Marinkovic","https://static.acb.com/img/www/jugadores2022/MarinkovicCara.jpg"
30000293,"O. Emegano","Obi Emegano","https://static.acb.com/img/www/jugadores2022/EmeganoCara.jpg"
20209098,"O. Paulí","Oriol Paulí","https://static.acb.com/img/www/jugadores2022/PauliCara.jpg"
30000954,"J. Webb","James Webb III","https://static.acb.com/img/www/jugadores2022/WebbCara.jpg"
20212288,"C. Czerapowicz","Chris Czerapowicz","https://static.acb.com/img/www/jugadores2022/CzerapowiczCara.jpg"
30001199,"V. Bleijenbergh","Vrenz Bleijenbergh","https://static.acb.com/img/www/jugadores2022/BleijenberghCara.jpg"
20212905,"K. Diop","Khalifa Diop","https://static.acb.com/img/www/jugadores2022/KDiopCara.jpg"
20212941,"D. Ennis","Dylan Ennis","https://static.acb.com/img/www/jugadores2022/EnnisCara.jpg"
30000479,"Y. Nzosa","Yannick Nzosa","https://static.acb.com/img/www/jugadores2022/NzosaCara.jpg"
30001126,"S. Braimoh","Suleiman Braimoh","https://static.acb.com/img/www/jugadores2022/BraimohCara.jpg"
20201800,"R. San Miguel","Rodrigo San Miguel","https://static.acb.com/img/www/jugadores2022/SanMiguelCara.jpg"
30001222,"S. Zack","Stephen Zack","https://static.acb.com/img/www/jugadores2022/ZackCara.jpg"
30001223,"T. Mcgee","Tyrus Mcgee","https://static.acb.com/img/www/jugadores2022/McGeeCara.jpg"
30000019,"B. Davies","Brandon Davies","https://static.acb.com/img/www/jugadores2022/DaviesCara.jpg"
