"license_licenseAbbrev","license_id","license_media_id","license_media_id_type","license_media_type","license_media_url","license_media_from_date"
"N. Laprovittola",20211947,25992,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/50/73/0000465073_03.jpg",1662037200
"N. Laprovittola",20211947,27117,4,"foto_juego","https://static.acb.com/media/PRO/00/00/47/14/75/0000471475_03.jpg",1662037200
"N. Laprovittola",20211947,26561,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/50/80/0000465080_03.jpg",1662037200
"S. Enoch",30000290,26947,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/87/84/0000468784_03.jpg",1662037200
"S. Enoch",30000290,25776,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/87/68/0000468768_03.jpg",1662037200
"S. Raieste",20212239,26959,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/87/62/0000468762_03.jpg",1662037200
"S. Raieste",20212239,25761,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/87/54/0000468754_03.jpg",1662037200
"D. Thompson",30001900,26951,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/86/57/0000468657_03.jpg",1662037200
"D. Thompson",30001900,26950,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/86/50/0000468650_03.jpg",1662037200
"M. Howard",30001957,26953,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/87/04/0000468704_03.jpg",1662037200
"M. Howard",30001957,26937,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/87/13/0000468713_03.jpg",1662040800
"D. Hommes",30001901,26948,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/86/63/0000468663_03.jpg",1662037200
"D. Hommes",30001901,26949,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/86/70/0000468670_03.jpg",1662037200
"T. Satoransky",20202163,26556,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/51/48/0000465148_03.jpg",1662037200
"T. Satoransky",20202163,26557,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/51/54/0000465154_03.jpg",1662037200
"T. Satoransky",20202163,27116,4,"foto_juego","https://static.acb.com/media/PRO/00/00/47/88/75/0000478875_03.jpg",1662037200
"S. Sanli",30001120,25991,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/51/33/0000465133_03.jpg",1630900800
"S. Sanli",30001120,26553,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/51/46/0000465146_03.jpg",1662037200
"S. Sanli",30001120,27130,4,"foto_juego","https://static.acb.com/media/PRO/00/00/47/76/34/0000477634_03.jpg",1662037200
"A. Abrines",20209223,25814,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/39/90/0000463990_03.jpg",1662037200
"A. Abrines",20209223,26359,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/39/95/0000463995_03.jpg",1662037200
"A. Abrines",20209223,27115,4,"foto_juego","https://static.acb.com/media/PRO/00/00/47/88/25/0000478825_03.jpg",1662037200
"N. Kalinic",30000314,27120,4,"foto_juego","https://static.acb.com/media/PRO/00/00/47/14/72/0000471472_03.jpg",1662037200
"N. Kalinic",30000314,26560,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/50/94/0000465094_03.jpg",1662037200
"N. Kalinic",30000314,26559,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/50/90/0000465090_03.jpg",1662037200
"V. Marinkovic",30000045,26957,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/88/13/0000468813_03.jpg",1662037200
"V. Marinkovic",30000045,25751,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/88/04/0000468804_03.jpg",1662037200
"R. Giedraitis",30000306,26219,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/87/36/0000468736_03.jpg",1662037200
"R. Giedraitis",30000306,26954,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/87/42/0000468742_03.jpg",1662037200
"J. Vesely",30001949,26555,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/50/38/0000465038_03.jpg",1662037200
"J. Vesely",30001949,27122,4,"foto_juego","https://static.acb.com/media/PRO/00/00/47/76/20/0000477620_03.jpg",1662037200
