id,id_competition,competition_name,competition_official_name,competition_initial_date,competition_final_date,competition_url_image,competition_url_image_negative,id_edition,edition_year,id_phase,phase_id,phase_description,phase_abrev,id_subphase,id_round,id_matchweek,id_week,week_description,matchweek_number,id_team_local,local_team_id_team_denomination,local_team_team_actual_name,local_team_team_actual_short_name,local_team_team_abbrev_name,id_team_visitor,visitor_team_id_team_denomination,visitor_team_team_actual_name,visitor_team_team_actual_short_name,visitor_team_team_abbrev_name,score_local,score_visitor,date,time,live,finalized,selected_players,arena_name,arena_town,period,crono
103358,1,Liga Nacional,Liga Endesa,-402534000,NA,https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png,https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png,87,2022,107,107,Liga Regular,LR,0,0,5557,265,Semana 1,1,4159,2416,Gran Canaria,Gran Canaria,GCA,4147,2404,Barça,Barça,BAR,88,85,1664496000,70200,FALSE,TRUE,FALSE,Gran Canaria Arena,Las Palmas de Gran Canaria,4,0
103366,1,Liga Nacional,Liga Endesa,-402534000,NA,https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png,https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png,87,2022,107,107,Liga Regular,LR,0,0,5557,265,Semana 1,1,4157,2414,Joventut Badalona,Joventut,JOV,4148,2405,Surne Bilbao Basket,Surne Bilbao,SBB,76,81,1664496000,70200,FALSE,TRUE,FALSE,Palau Municipal D´Esports de Badalona,Badalona,4,0
103355,1,Liga Nacional,Liga Endesa,-402534000,NA,https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png,https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png,87,2022,107,107,Liga Regular,LR,0,0,5557,265,Semana 1,1,4154,2411,Cazoo Baskonia,Cazoo Baskonia,BKN,4152,2409,Unicaja,Unicaja,UNI,103,89,1664496000,61200,FALSE,TRUE,FALSE,Fernando Buesa Arena,Vitoria-Gasteiz,4,0
103356,1,Liga Nacional,Liga Endesa,-402534000,NA,https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png,https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png,87,2022,107,107,Liga Regular,LR,0,0,5557,265,Semana 1,1,4145,2419,Real Betis Baloncesto,Betis,BET,4156,2413,Valencia Basket,Valencia Basket,VBC,78,83,1664496000,61200,FALSE,TRUE,FALSE,Palacio Municipal de Deportes San Pablo,Sevilla,4,0
103353,1,Liga Nacional,Liga Endesa,-402534000,NA,https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png,https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png,87,2022,107,107,Liga Regular,LR,0,0,5557,265,Semana 1,1,4155,2412,BAXI Manresa,BAXI Manresa,BAX,4158,2415,Lenovo Tenerife,Lenovo Tenerife,LNT,70,89,1664409600,70200,FALSE,TRUE,FALSE,Pavelló Nou Congost,Manresa,3,0
103354,1,Liga Nacional,Liga Endesa,-402534000,NA,https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png,https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png,87,2022,107,107,Liga Regular,LR,0,0,5557,265,Semana 1,1,4150,2407,UCAM Murcia,UCAM Murcia,UCM,4153,2410,Río Breogán,Río Breogán,BRE,70,84,1664409600,70200,FALSE,TRUE,FALSE,Palacio de Deportes de Murcia,Murcia,4,0
103351,1,Liga Nacional,Liga Endesa,-402534000,NA,https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png,https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png,87,2022,107,107,Liga Regular,LR,0,0,5557,265,Semana 1,1,4146,2403,Carplus Fuenlabrada,Carplus Fuenla,FUE,4160,2417,Coviran Granada,Coviran Granada,COV,81,83,1664409600,61200,FALSE,TRUE,FALSE,Pabellón Fernando Martín,Fuenlabrada,4,0
103352,1,Liga Nacional,Liga Endesa,-402534000,NA,https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png,https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png,87,2022,107,107,Liga Regular,LR,0,0,5557,265,Semana 1,1,4151,2408,Monbus Obradoiro,Monbus Obra,MOB,4144,2400,Casademont Zaragoza,Casademont Zgz,CAZ,76,73,1664409600,61200,FALSE,TRUE,FALSE,Multiusos Fontes do Sar,Santiago de Compostela,4,0
103350,1,Liga Nacional,Liga Endesa,-402534000,NA,https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png,https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png,87,2022,107,107,Liga Regular,LR,0,0,5557,265,Semana 1,1,4143,2399,Bàsquet Girona,Bàsquet Girona,GIR,4149,2406,Real Madrid,Real Madrid,RMB,88,94,1664323200,68400,FALSE,TRUE,FALSE,Palau Girona-Fontajau,Girona,2,0
103348,1,Liga Nacional,Liga Endesa,-402534000,NA,https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png,https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png,87,2022,107,107,Liga Regular,LR,0,0,5556,265,Semana 1,2,4147,2404,Barça,Barça,BAR,4154,2411,Cazoo Baskonia,Cazoo Baskonia,BKN,89,74,1664668800,64800,FALSE,TRUE,FALSE,Palau Blaugrana,Barcelona,4,0
