"","jugador","jug","eq","broker","media_sm","media","ef","rent","reg","jornada","val","j1","j2","j3","j4","j5","j6","j7"
"1","Ethan Happ","E. Happ","BRE",952222,39.6,39.6,0,2.1,0,"j1",39.6,NA,NA,NA,NA,NA,NA,NA
"2","Marc Gasol","M. Gasol","GIR",1123333,34,34,0,1.5,0,"j1",34,NA,NA,NA,NA,NA,NA,NA
"3","Mario Hezonja","M. Hezonja","RMB",635556,31.2,31.2,0,2.5,0,"j1",31.2,NA,NA,NA,NA,NA,NA,NA
"4","Darius Thompson","D. Thompson","BKN",911250,28.8,28.8,0,1.6,0,"j1",28.8,NA,NA,NA,NA,NA,NA,NA
"5","Olek Balcerowski","O. Balcerowski","GCA",587778,26.4,26.4,0,2.2,0,"j1",26.4,NA,NA,NA,NA,NA,NA,NA
"6","Kameron Taylor","K. Taylor","GIR",698889,26,26,0,1.9,0,"j1",26,NA,NA,NA,NA,NA,NA,NA
"7","Nikola Kalinic","N. Kalinic","BAR",493333,25,25,0,2.5,0,"j1",25,NA,NA,NA,NA,NA,NA,NA
"8","Nihad Djedovic","N. Djedovic","UNI",672222,24,24,0,1.8,0,"j1",24,NA,NA,NA,NA,NA,NA,NA
"9","Prince Ali","P. Ali","COV",440000,24,24,0,2.7,0,"j1",24,NA,NA,NA,NA,NA,NA,NA
"10","Matt Costello","M. Costello","BKN",960000,22.8,22.8,0,1.2,0,"j1",22.8,NA,NA,NA,NA,NA,NA,NA
"11","Chris Jones","C. Jones","VBC",954444,22.8,22.8,0,1.2,0,"j1",22.8,NA,NA,NA,NA,NA,NA,NA
"12","Jasiel Rivero","J. Rivero","VBC",905111,22.8,22.8,0,1.3,0,"j1",22.8,NA,NA,NA,NA,NA,NA,NA
"13","Tadas Sedekerskis","T. Sedekerskis","BKN",670000,21.6,21.6,0,1.6,0,"j1",21.6,NA,NA,NA,NA,NA,NA,NA
"14","Francis Alonso","F. Alonso","SBB",358889,21.6,21.6,0,3,0,"j1",21.6,NA,NA,NA,NA,NA,NA,NA
"15","Ante Tomic","A. Tomic","JOV",1147778,21,21,0,0.9,0,"j1",21,NA,NA,NA,NA,NA,NA,NA
"16","Sasu Salin","S. Salin","LNT",675556,20.4,20.4,0,1.5,0,"j1",20.4,NA,NA,NA,NA,NA,NA,NA
"17","Guerschon Yabusele","G. Yabusele","RMB",960000,20.4,20.4,0,1.1,0,"j1",20.4,NA,NA,NA,NA,NA,NA,NA
"18","Sergio Rodríguez","S. Rodríguez","RMB",532500,19.2,19.2,0,1.8,0,"j1",19.2,NA,NA,NA,NA,NA,NA,NA
"19","Jeff Withey","J. Withey","SBB",750000,19.2,19.2,0,1.3,0,"j1",19.2,NA,NA,NA,NA,NA,NA,NA
"20","Miquel Salvó","M. Salvó","GCA",764444,18,18,0,1.2,0,"j1",18,NA,NA,NA,NA,NA,NA,NA
"21","Sertaç Sanli","S. Sanli","BAR",420000,18,18,0,2.1,0,"j1",18,NA,NA,NA,NA,NA,NA,NA
"22","Dragan Bender","D. Bender","MOB",1017778,18,18,0,0.9,0,"j1",18,NA,NA,NA,NA,NA,NA,NA
"23","Edy Tavares","E. Tavares","RMB",828889,18,18,0,1.1,0,"j1",18,NA,NA,NA,NA,NA,NA,NA
"24","Howard Sant-Roos","H. Sant-Roos","CAZ",655556,17,17,0,1.3,0,"j1",17,NA,NA,NA,NA,NA,NA,NA
"25","Mamadou Niang","M. Niang","COV",703576,16.8,16.8,0,1.2,0,"j1",16.8,NA,NA,NA,NA,NA,NA,NA
"26","Nemanja Nenadic","N. Nenadic","BRE",466667,16.8,16.8,0,1.8,0,"j1",16.8,NA,NA,NA,NA,NA,NA,NA
"27","Arturs Kurucs","A. Kurucs","BKN",300643,16.8,16.8,0,2.8,0,"j1",16.8,NA,NA,NA,NA,NA,NA,NA
"28","Cristiano Felicio","C. Felicio","COV",801111,16.8,16.8,0,1,0,"j1",16.8,NA,NA,NA,NA,NA,NA,NA
"29","Elgin Cook","E. Cook","LNT",462222,16.8,16.8,0,1.8,0,"j1",16.8,NA,NA,NA,NA,NA,NA,NA
"30","Rokas Jokubaitis","R. Jokubaitis","BAR",665556,16,16,0,1.2,0,"j1",16,NA,NA,NA,NA,NA,NA,NA
"31","Amar Sylla","A. Sylla","BET",321111,16,16,0,2.5,0,"j1",16,NA,NA,NA,NA,NA,NA,NA
"32","Augusto Lima","A. Lima","UNI",425556,16,16,0,1.9,0,"j1",16,NA,NA,NA,NA,NA,NA,NA
"33","Nico Brussino","N. Brussino","GCA",832222,15.6,15.6,0,0.9,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"34","Rokas Giedraitis","R. Giedraitis","BKN",606667,15.6,15.6,0,1.3,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"35","Scott Bamforth","S. Bamforth","BRE",688889,15.6,15.6,0,1.1,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"36","Thomas Bropleh","T. Bropleh","COV",600875,15.6,15.6,0,1.3,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"37","Thomas Scrubb","T. Scrubb","MOB",911111,15.6,15.6,0,0.9,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"38","Alex Renfroe","A. Renfroe","COV",815556,15.6,15.6,0,1,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"39","Bruno Fitipaldo","B. Fitipaldo","LNT",336667,15.6,15.6,0,2.3,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"40","Damien Inglis","D. Inglis","GCA",817778,15.6,15.6,0,1,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"41","Ferran Bassas","F. Bassas","GCA",475556,15.6,15.6,0,1.6,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"42","John Shurna","J. Shurna","GCA",722857,15.6,15.6,0,1.1,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"43","Dusan Miletic","D. Miletic","GIR",454444,15,15,0,1.7,0,"j1",15,NA,NA,NA,NA,NA,NA,NA
"44","Markus Howard","M. Howard","BKN",325000,14.4,14.4,0,2.2,0,"j1",14.4,NA,NA,NA,NA,NA,NA,NA
"45","Sergi García","S. García","BRE",397778,14.4,14.4,0,1.8,0,"j1",14.4,NA,NA,NA,NA,NA,NA,NA
"46","Sergio Llull","S. Llull","RMB",585000,14.4,14.4,0,1.2,0,"j1",14.4,NA,NA,NA,NA,NA,NA,NA
"47","Tim Abromaitis","T. Abromaitis","LNT",388889,14.4,14.4,0,1.9,0,"j1",14.4,NA,NA,NA,NA,NA,NA,NA
"48","Klemen Prepelic","K. Prepelic","VBC",169217,14.4,14.4,0,4.3,0,"j1",14.4,NA,NA,NA,NA,NA,NA,NA
"49","Ludde Hakanson","L. Hakanson","SBB",807500,14.4,14.4,0,0.9,0,"j1",14.4,NA,NA,NA,NA,NA,NA,NA
"50","Volodymyr Gerun","V. Gerun","BET",390000,14,14,0,1.8,0,"j1",14,NA,NA,NA,NA,NA,NA,NA
"51","Jerrick Harding","J. Harding","BAX",834444,14,14,0,0.8,0,"j1",14,NA,NA,NA,NA,NA,NA,NA
