"","equipo","logo","color","id","año","abb","logo2"
"1","Barça","https://static.acb.com/img/www/clubes2023/barca_logopos.png","#154284",2,2023,"BAR","https://www.realmadrid.com/StaticFiles/RealMadrid/directo/statics/baloncesto/acb/Barcelona_mediano.png"
"2","BAXI Manresa","https://static.acb.com/img/31/9/2f/75632.png","#D5001E",10,2023,"BAX","https://static.acb.com/img/31/9/2f/75632.png"
"3","Bàsquet Girona","https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logopositivo2223.png","#B32836",591,2023,"GIR","https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logopositivo2223.png"
"4","Carplus Fuenlabrada","https://static.acb.com/img/www/clubes2023/CarplusFuenlabrada-Logo-56.png","#0085CA",17,2023,"FUE","https://www.realmadrid.com/StaticFiles/RealMadrid/directo/statics/baloncesto/acb/cdcarplusfuenlabrada_mediano.png"
"5","Casademont Zaragoza","https://static.acb.com/img/3a/16/1c/logo_zza_2020.png","#C8102E",16,2023,"CAZ","https://www.casademontzaragoza.es/sites/default/files/logo_CasademontZGZ_color_0.png"
"6","Cazoo Baskonia","https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png","#C8102E",3,2023,"BKN","https://www.realmadrid.com/StaticFiles/RealMadrid/directo/statics/baloncesto/acb/baskonia_grande.png"
"7","Coviran Granada","https://static.acb.com/img/www/clubes2023/coviran-granada_logopositivo.png","#C2213C",592,2023,"COV","https://static.acb.com/img/www/clubes2023/coviran-granada_logopositivo.png"
"8","Gran Canaria","https://static.acb.com/img/2/58/5b/75611.png","#FFB718",5,2023,"GCA","https://static.acb.com/img/2/58/5b/75611.png"
"9","Joventut Badalona","https://static.acb.com/img/e/53/16/1453195579.png","#2F8E62",8,2023,"JOV","https://www.realmadrid.com/StaticFiles/RealMadrid/directo/statics/baloncesto/acb/Joventut_mediano.png"
"10","Lenovo Tenerife","https://static.acb.com/img/www/clubes2021/LenovoTenerife-pos-vert.png","#E9CD5F",28,2023,"LNT","https://www.realmadrid.com/StaticFiles/RealMadrid/directo/statics/baloncesto/acb/tenerife_lenovo_mediano.png"
"11","Monbus Obradoiro","https://static.acb.com/img/www/clubes2023/MonbusObradoiro_Positivo.png","#4A96C4",57,2023,"MOB","https://www.realmadrid.com/StaticFiles/RealMadrid/directo/statics/baloncesto/acb/Obradoiro_mediano.png"
"12","Real Betis Baloncesto","https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png","#058E48",15,2023,"BET","https://www.acb.com/Documentos/Autores/autor-258.png"
"13","Real Madrid","https://static.acb.com/img/20/22/3d/75629.png","#FEBE10",9,2023,"RMB","https://www.realmadrid.com/StaticFiles/RealMadrid/directo/statics/primera/Rm_mediano.png"
"14","Río Breogán","https://static.acb.com/logos/1718/breogan_00.png","#85ADEA",25,2023,"BRE","https://static.acb.com/logos/1718/breogan_00.png"
"15","Surne Bilbao Basket","https://static.acb.com/img/www/clubes2022/logo_surnebb_pos.png","#000000",4,2023,"SBB","https://www.realmadrid.com/StaticFiles/RealMadrid/directo/statics/baloncesto/acb/bilbao_basket_mediano.png"
"16","UCAM Murcia","https://static.acb.com/img/14/31/34/75635.png","#A51A14",12,2023,"UCM","https://static.acb.com/img/14/31/34/75635.png"
"17","Unicaja","https://static.acb.com/img/www/clubes2022/Logoescudo_unicaja2.png","#3D9C35",14,2023,"UNI","https://www.fiba.basketball/api/img/equipo/logoflag/1012?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208407.png"
"18","Valencia Basket","https://static.acb.com/img/23/2/25/1654748673.png","#FC6C0F",13,2023,"VBC","https://www.realmadrid.com/StaticFiles/RealMadrid/directo/statics/baloncesto/acb/ValenciaBasket_mediano.png"
"19","acb",NA,NA,NA,NA,NA,"https://raw.githubusercontent.com/IvoVillanueva/acb_logo/main/Logo%20SM%20mosca%20180x180.png"
