period,id_match,team_team_abbrev_name,loc_vis,license_licenseNick,type_normalized_description,minute,second,score_local,score_visitor
1,103789,JOV,FALSE,Feliz,Starting Five,10,0,0,0
1,103789,JOV,FALSE,Busquets,Starting Five,10,0,0,0
1,103789,JOV,FALSE,Tomic,Starting Five,10,0,0,0
1,103789,JOV,FALSE,Thomas,Starting Five,10,0,0,0
1,103789,JOV,FALSE,Andrews,Starting Five,10,0,0,0
1,103789,BAR,TRUE,Satoransky,Starting Five,10,0,0,0
1,103789,BAR,TRUE,Laprovittola,Starting Five,10,0,0,0
1,103789,BAR,TRUE,Da Silva,Starting Five,10,0,0,0
1,103789,BAR,TRUE,Parra,Starting Five,10,0,0,0
1,103789,BAR,TRUE,Hernangómez,Starting Five,10,0,0,0
1,103789,NA,FALSE,NA,Start of the Game,10,0,0,0
1,103789,NA,FALSE,NA,Start of the Quarter,10,0,0,0
1,103789,JOV,FALSE,Tomic,Won jump,10,0,0,0
1,103789,BAR,TRUE,Hernangómez,Lost jump,10,0,0,0
1,103789,JOV,FALSE,Tomic,Turnover,9,46,0,0
1,103789,BAR,TRUE,Parra,Steal,9,46,0,0
1,103789,BAR,TRUE,Da Silva,Turnover,9,37,0,0
1,103789,JOV,FALSE,Andrews,3-Point Shot Missed,9,20,0,0
1,103789,BAR,TRUE,Hernangómez,Defensive Rebound,9,20,0,0
1,103789,BAR,TRUE,Hernangómez,3-Point Shot Missed,8,58,0,0
1,103789,JOV,FALSE,Thomas,Defensive Rebound,8,58,0,0
1,103789,JOV,FALSE,Tomic,2-Point Shot Made,8,39,0,2
1,103789,BAR,TRUE,Laprovittola,2-Point Shot Made,8,23,2,2
1,103789,JOV,FALSE,Andrews,2-Point Shot Made,8,7,2,4
1,103789,BAR,TRUE,Satoransky,3-Point Shot Made,7,51,5,4
1,103789,JOV,FALSE,Andrews,3-Point Shot Made,7,34,5,7
1,103789,BAR,TRUE,Laprovittola,2-Point Shot Missed,7,18,5,7
1,103789,JOV,FALSE,Tomic,Defensive Rebound,7,18,5,7
1,103789,BAR,TRUE,Satoransky,Foul No FT,7,15,5,7
1,103789,JOV,FALSE,Feliz,Foul Received,7,15,5,7
1,103789,JOV,FALSE,Busquets,3-Point Shot Missed,6,58,5,7
1,103789,BAR,TRUE,Da Silva,Defensive Rebound,6,58,5,7
1,103789,JOV,FALSE,Andrews,Foul No FT,6,54,5,7
1,103789,BAR,TRUE,Laprovittola,Foul Received,6,54,5,7
1,103789,BAR,TRUE,Parra,3-Point Shot Made,6,47,8,7
1,103789,BAR,TRUE,Da Silva,Assist 3-Point Shot,6,47,8,7
1,103789,JOV,FALSE,Feliz,2-Point Shot Missed,6,23,8,7
1,103789,JOV,FALSE,Tomic,Offensive Rebound,6,23,8,7
1,103789,JOV,FALSE,Tomic,3-Point Shot Missed,6,17,8,7
1,103789,JOV,FALSE,Busquets,Offensive Rebound,6,17,8,7
1,103789,JOV,FALSE,Feliz,3-Point Shot Missed,6,10,8,7
1,103789,BAR,TRUE,Da Silva,Defensive Rebound,6,10,8,7
1,103789,BAR,TRUE,Laprovittola,Turnover,5,58,8,7
1,103789,JOV,FALSE,Thomas,Steal,5,58,8,7
1,103789,BAR,TRUE,Laprovittola,Foul No FT,5,50,8,7
1,103789,JOV,FALSE,Tomic,Foul Received,5,50,8,7
1,103789,JOV,FALSE,Feliz,2-Point Shot Made,5,47,8,9
1,103789,JOV,FALSE,Thomas,Assist 2-Point Shot,5,47,8,9
1,103789,BAR,TRUE,Satoransky,3-Point Shot Missed,5,31,8,9
1,103789,JOV,FALSE,Feliz,Defensive Rebound,5,31,8,9
1,103789,BAR,TRUE,Hernangómez,Foul No FT,5,29,8,9
1,103789,JOV,FALSE,Feliz,Foul Received,5,29,8,9
1,103789,JOV,FALSE,Andrews,2-Point Shot Missed,5,6,8,9
1,103789,BAR,TRUE,Parra,Defensive Rebound,5,6,8,9
1,103789,BAR,TRUE,Parra,2-Point Shot Made,5,2,10,9
1,103789,JOV,FALSE,Busquets,3-Point Shot Made,4,48,10,12
1,103789,JOV,FALSE,Feliz,Assist 3-Point Shot,4,48,10,12
1,103789,BAR,TRUE,Laprovittola,Turnover,4,36,10,12
1,103789,JOV,FALSE,Thomas,Steal,4,36,10,12
1,103789,JOV,FALSE,Andrews,3-Point Shot Missed,4,31,10,12
1,103789,JOV,FALSE,Busquets,Offensive Rebound,4,31,10,12
1,103789,JOV,FALSE,Tomic,Offensive Foul,4,24,10,12
1,103789,JOV,FALSE,Tomic,Turnover,4,24,10,12
